#################
#               #
#      S        #
#               #
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#               #
#      A        #
#               #
#################
1 s
#################
#               #
#               #
#      S        #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#               #
#      A        #
#               #
#################
2 s
#################
#               #
#               #
#               #
#      S      < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#               #
#      A        #
#               #
#################
3 s
#################
#               #
#               #
#               #
#            <  #
#      S      < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#               #
#      A        #
#               #
#################
4 s
#################
#               #
#               #
#               #
#           <   #
#            <  #
#      S      < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#               #
#      A        #
#               #
#################
5 d
#################
#               #
#               #
#               #
#          <    #
#           <   #
#       S    <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#               #
#      A        #
#               #
#################
6 d
#################
#               #
#               #
#               #
#         <     #
#          <    #
#        S  <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#               #
#      A        #
#               #
#################
7 d
#################
#               #
#               #
#               #
#        <      #
#         <     #
#         S<    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#               #
#      A        #
#               #
#################
8 w
#################
#               #
#               #
#               #
#       <       #
#        <S     #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#               #
#      A        #
#               #
#################
9 d
#################
#               #
#               #
#               #
#      <        #
#       <  S    #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#     <         #
#               #
#      A        #
#               #
#################
10 d
#################
#               #
#               #
#               #
#     <         #
#      <    S   #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#    <          #
#               #
#      A        #
#               #
#################
11 d
#################
#               #
#               #
#               #
#    <          #
#     <      S  #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#   <           #
#               #
#      A        #
#               #
#################
12 d
#################
#               #
#               #
#               #
#   <           #
#    <        S #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#  <            #
#               #
#      A        #
#               #
#################
13 d
#################
#               #
#               #
#               #
#  <            #
#   <          S#
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
# <             #
#               #
#      A        #
#               #
#################
14 d
#################
#               #
#               #
#               #
# <             #
#  <           S#
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
#           >   #
#          >    #
#         >     #
#        >      #
#       >       #
#      >        #
#     >         #
#    >          #
#   >           #
#  >            #
# >             #
#>              #
#<              #
#               #
#      A        #
#               #
#################
15 a
#################
#               #
#               #
#               #
#<              #
# <           S #
#  <            #
#   <           #
#    <          #
#     <         #
#      <        #
#       <       #
#        <      #
#         <     #
#          <    #
#           <   #
#            <  #
#             < #
#              <#
#              >#
#             > #
#            >  #
